Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Factor Value: Age,Factor Value: Spaceflight,Factor Value: Cultivar,Characteristics: organism part,Characteristics: Seed Source,Characteristics: developmental stage,Protocol REF,Parameter Value: light source,Parameter Value: Hardware,Parameter Value: Growth time,Parameter Value: growth environment,Parameter Value: Growth Medium,Parameter Value: Mean Growth Temperature,Parameter Value: Light quality,Parameter Value: light cycle,Parameter Value: Light intensity,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Comment: Sample Title
GSM2509429,SAMN06465163,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep3"
GSM2509430,SAMN06465160,Arabidopsis thaliana,Wild Type,4 day,Space Flight,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),4 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 4 days old, WS Rep4"
GSM2509431,SAMN06465157,Arabidopsis thaliana,Wild Type,8 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 8 days old, Col-0 Rep1"
GSM2509432,SAMN06465155,Arabidopsis thaliana,Wild Type,8 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 8 days old, Col-0 Rep2"
GSM2509433,SAMN06465152,Arabidopsis thaliana,Wild Type,8 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 8 days old, Col-0 Rep3"
GSM2509434,SAMN06465150,Arabidopsis thaliana,Wild Type,8 day,Ground Control,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 8 days old, Col-0 Rep4"
GSM2509435,SAMN06465148,Arabidopsis thaliana,Wild Type,8 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 8 days old, Col-0 Rep1"
GSM2509436,SAMN06465146,Arabidopsis thaliana,Wild Type,8 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 8 days old, Col-0 Rep2"
GSM2509437,SAMN06465144,Arabidopsis thaliana,Wild Type,8 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 8 days old, Col-0 Rep3"
GSM2509438,SAMN06465142,Arabidopsis thaliana,Wild Type,8 day,Space Flight,Col-0,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISS,0.5% Phytagel 0.5x MS media,15.687 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Spaceflight, 8 days old, Col-0 Rep4"
GSM2509439,SAMN06465276,Arabidopsis thaliana,Wild Type,8 day,Ground Control,WS,root,Not Available,Seedlings,growth protocol,Light Emitting Diode Device,Vegetable Production System (Veggie),8 day,ISSES,0.5% Phytagel 0.5x MS media,14.655 degree Celsius,Not Available,Not Available,100-135 micromole per square meter per second,sample collection,RNALater,-80 degree Celsius,"Ground Control, 8 days old, WS Rep1"
