Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Age,Unit,Term Source REF,Term Accession Number,Characteristics: organism part,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Comment: Sample Title,Characteristics: developmental stage,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Term Source REF,Term Accession Number,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
GSM2519310,SAMN06468836,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Wassilewskija Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519311,SAMN06468835,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 4 days old, Wassilewskija Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519312,SAMN06468833,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Wassilewskija Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519313,SAMN06468832,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Wassilewskija Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519314,SAMN06468830,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Wassilewskija Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519315,SAMN06468829,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 4 days old, Wassilewskija Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,4 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519316,SAMN06468827,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 8 days old, Sku5 Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519317,SAMN06468825,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 8 days old, Sku5 Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519318,SAMN06468826,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 8 days old, Sku5 Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519319,SAMN06468823,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 8 days old, Sku5 Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519320,SAMN06468824,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 8 days old, Sku5 Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519321,SAMN06468822,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 8 days old, Sku5 Rep2",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519322,SAMN06468820,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 8 days old, Sku5 Rep3",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519323,SAMN06468819,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Sku5,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,"Spaceflight, 8 days old, Sku5 Rep4",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
GSM2519324,SAMN06468818,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,WS,,,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Plant Roots,MESH,http://purl.bioontology.org/ontology/MESH/D018517,Ground Control,,,"Ground Control, 8 days old, Wassilewskija Rep1",Seedlings,MESH,http://purl.bioontology.org/ontology/MESH/D036226,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,8 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,100-135 μmoles/m2/s PAR,μmoles/m2/s PAR,OSD,https://osdr.nasa.gov/,treatment protocol,sample collection,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
