Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Strain,Term Source REF,Term Accession Number,Factor Value: Spaceflight,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Organism Part,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Growth Time,Unit,Term Source REF,Term Accession Number,Parameter Value: growth environment,Term Source REF,Term Accession Number,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: Mean Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: light regimen,Term Source REF,Term Accession Number,Parameter Value: Hardware,Parameter Value: container,Parameter Value: Growth Medium,Parameter Value: light source,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number,Comment: Original Submitter Factor
F43,F43,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F53,F53,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
F68,F68,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F78,F78,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F63,F63,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
F73,F73,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,uG,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Space Flight
GC14,GC14,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,1G on Earth,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,"NASA Ames, Experimental Reference Module (ERM2)",TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Ground Control
GC16,GC16,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,root,PO,http://purl.obolibrary.org/obo/PO_0009005,1G on Earth,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,"NASA Ames, Experimental Reference Module (ERM2)",TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Ground Control
GC01,GC01,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,1G on Earth,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,"NASA Ames, Experimental Reference Module (ERM2)",TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Ground Control
GC13,GC13,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Ground Control,OSD,https://osdr.nasa.gov/,InsP 5-ptase Transgenic,,,root,PO,http://purl.obolibrary.org/obo/PO_0009005,1G on Earth,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,Earth surface,RBO,http://purl.obolibrary.org/obo/RBO_00000017,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,"NASA Ames, Experimental Reference Module (ERM2)",TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,Ground Control
FLS18,FLS18,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,Wild Type,NCIT,http://purl.obolibrary.org/obo/NCIT_C62195,shoot,EFO,http://www.ebi.ac.uk/efo/EFO_0000992,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
FLS13,FLS13,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,Col-0,EFO,http://www.ebi.ac.uk/efo/EFO_0005148,Space Flight,MESH,http://purl.bioontology.org/ontology/MESH/D013026,InsP 5-ptase Transgenic,,,shoot,EFO,http://www.ebi.ac.uk/efo/EFO_0000992,0.76G by centrifugation,,,growth protocol,5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,ISS-Columbus,RBO,http://purl.obolibrary.org/obo/RBO_00000042,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,24 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,European Modular Cultivation System (EMCS),TROPI-like seed cassettes,0.5X Murashige and Skoog (MS) media (without sucrose),Light Emitting Diode Device,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923,sample collection,frozen,RBO,http://purl.obolibrary.org/obo/PATO_0001985,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,0.76G In-flight Control
