Source Name,Sample Name,Characteristics: Organism,Characteristics: Strain,Characteristics: Seed Source,Characteristics: Material Type,Characteristics: stratification exposure,Characteristics: Launch Mission,Factor Value: Genotype,Factor Value: Spaceflight,Factor Value: Organism part,Protocol REF,Parameter Value: Hardware,Parameter Value: light source,Parameter Value: Growth Medium,Parameter Value: light cycle,Parameter Value: Average percent humidity,Parameter Value: Mean Growth Temperature,Parameter Value: Quantity of growth medium,Parameter Value: light regimen,Parameter Value: Light Color,Parameter Value: Growth Time,Parameter Value: Minimum Growth Temperature,Parameter Value: Maximum Growth Temperature,Parameter Value: Light Intensity,Parameter Value: Growth Time Start Date (MM/DD/YYYY),Parameter Value: growth environment,Comment: Original Source Name,Protocol REF,Parameter Value: Sample Preservation Method,Parameter Value: Sample Storage Temperature,Parameter Value: Age at sample harvest,Protocol REF,Parameter Value: vehicle,Parameter Value: absorbed radiation dose,Parameter Value: absorbed radiation dose rate,Parameter Value: ionizing radiation,Parameter Value: ionizing radiation categorized by source,Parameter Value: exposure duration
"Ground control, Col-0, Leaves, replicate 3",GSM3331081,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Ground Control,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Leaves, Ground control, replicate 3 [CLG3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Leaves, replicate 4",GSM3331082,Arabidopsis thaliana,Col-0,TAIR CS70000,leaf,7 day,SpaceX-10,Wild Type,Ground Control,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Leaves, Ground control, replicate 4 [CLG4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Roots, replicate 1",GSM3331083,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Ground Control,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Roots, Ground control, replicate 1 [CRG1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Roots, replicate 2",GSM3331084,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Ground Control,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Roots, Ground control, replicate 2 [CRG2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Roots, replicate 3",GSM3331085,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Ground Control,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Roots, Ground control, replicate 3 [CRG3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Ground control, Col-0, Roots, replicate 4",GSM3331086,Arabidopsis thaliana,Col-0,TAIR CS70000,root,7 day,SpaceX-10,Wild Type,Ground Control,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"Col-0, Roots, Ground control, replicate 4 [CRG4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
"Flight, elp2-5, Leaves, replicate 1",GSM3331087,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,leaf,7 day,SpaceX-10,elp2-5,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Leaves, Flight, replicate 1 [ELF1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Leaves, replicate 2",GSM3331088,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,leaf,7 day,SpaceX-10,elp2-5,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Leaves, Flight, replicate 2 [ELF2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Leaves, replicate 3",GSM3331089,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,leaf,7 day,SpaceX-10,elp2-5,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Leaves, Flight, replicate 3 [ELF3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Leaves, replicate 4",GSM3331090,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,leaf,7 day,SpaceX-10,elp2-5,Space Flight,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Leaves, Flight, replicate 4 [ELF4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Roots, replicate 1",GSM3331091,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,root,7 day,SpaceX-10,elp2-5,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Roots, Flight, replicate 1 [ERF1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Roots, replicate 2",GSM3331092,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,root,7 day,SpaceX-10,elp2-5,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Roots, Flight, replicate 2 [ERF2]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Roots, replicate 3",GSM3331093,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,root,7 day,SpaceX-10,elp2-5,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Roots, Flight, replicate 3 [ERF3]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Flight, elp2-5, Roots, replicate 4",GSM3331094,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,root,7 day,SpaceX-10,elp2-5,Space Flight,root,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,ISS-Columbus,"elp2-5, Roots, Flight, replicate 4 [ERF4]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,ISS-Columbus,3.304 milligray,0.3 milligray per day,space radiation,outer space,11 day
"Ground control, elp2-5, Leaves, replicate 1",GSM3331095,Arabidopsis thaliana,Col-0,Dr. Zhonglin Mous Lab,leaf,7 day,SpaceX-10,elp2-5,Ground Control,leaf,growth protocol,Vegetable Production System (Veggie),Light Emitting Diode Device,"0.5 percent Phytagel-based growth medium supplemented with: 0.5 x Murashige Skoog salts, 0.5 percent (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture",24 light hour,46.73 percent,19.06 degree Celsius,50 milliliter,continuous light regimen,red and blue,11 day,1.72 degree Celsius,28.15 degree Celsius,100-135 micromole per square meter per second,02/26/2017,Earth surface,"elp2-5, Leaves, Ground control, replicate 1 [ELG1]",sample collection,RNAlater,-80 degree Celsius,11 day,radiation dosimetry,Earth surface,Not Applicable,Not Applicable,non-irradiated,Not Applicable,Not Applicable
