Source Name,Sample Name,Characteristics: Organism,Term Source REF,Term Accession Number,Characteristics: Age,Unit,Term Source REF,Term Accession Number,Characteristics: Material Type,Term Source REF,Term Accession Number,Factor Value: Ecotype,Term Source REF,Term Accession Number,Factor Value: Genotype,Term Source REF,Term Accession Number,Factor Value: Altered Gravity,Term Source REF,Term Accession Number,Factor Value: Spacecraft,Term Source REF,Term Accession Number,Characteristics: stratification exposure,Unit,Term Source REF,Term Accession Number,Protocol REF,Parameter Value: Mean Growth Temperature,Unit,Term Source REF,Term Accession Number,Parameter Value: Light Intensity,Unit,Term Source REF,Term Accession Number,Parameter Value: light cycle,Unit,Term Source REF,Term Accession Number,Parameter Value: light regimen,Term Source REF,Term Accession Number,Parameter Value: Hardware,Parameter Value: Growth Medium,Parameter Value: Quantity of growth medium,Unit,Term Source REF,Term Accession Number,Protocol REF,Protocol REF,Parameter Value: Sample Preservation Method,Term Source REF,Term Accession Number,Parameter Value: Sample Storage Temperature,Unit,Term Source REF,Term Accession Number
"WS Root, Ground Control, Virgin Galactic, replicate 2",GSM4880352,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Ground Control, Virgin Galactic, replicate 3",GSM4880353,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,10 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Virgin Galactic SpaceShipTwo,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Blue Origin, replicate 1",GSM4880354,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Blue Origin, replicate 2",GSM4880355,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Flight, Blue Origin, replicate 3",GSM4880356,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Ground Control, Blue Origin, replicate 1",GSM4880357,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Ground Control, Blue Origin, replicate 2",GSM4880358,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"WS Root, Ground Control, Blue Origin, replicate 3",GSM4880359,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,Wild Type,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62195,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Flight, Blue Origin, replicate 1",GSM4880360,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Flight, Blue Origin, replicate 2",GSM4880361,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Flight, Blue Origin, replicate 3",GSM4880362,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Suborbital Flight,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Ground Control, Blue Origin, replicate 1",GSM4880363,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Ground Control, Blue Origin, replicate 2",GSM4880364,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
"sku5 Root, Ground Control, Blue Origin, replicate 3",GSM4880365,Arabidopsis thaliana,NCBITAXON,http://purl.bioontology.org/ontology/NCBITAXON/3702,11 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,root,PAE,http://purl.obolibrary.org/obo/PO_0009005,Wassilewskija ecotype,EFO,http://www.ebi.ac.uk/efo/EFO_0005156,sku5,,,Ground Control,,,Blue Origin New Shepard,,,3-5 day,day,UO,http://purl.obolibrary.org/obo/UO_0000033,growth protocol,19 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027,80 micromole per square meter per second,micromole per square meter per second,UO,http://purl.obolibrary.org/obo/UO_0000160,24 light hour,hour,UO,http://purl.obolibrary.org/obo/UO_0000032,continuous light regimen,EFO,http://purl.obolibrary.org/obo/EO_0007162,100mm Petri dish,"0.5% Phytagel-based growth medium supplemented with 0.5x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1x Gamborg's Vitamin Mixture",50 milliliter,milliliter,UO,http://purl.obolibrary.org/obo/UO_0000098,treatment protocol,sample collection protocol,RNALater,NCIT,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63348,-80 degree Celsius,degree Celsius,UO,http://purl.obolibrary.org/obo/UO_0000027
